年龄段,其他年龄填写,行业/专业,学生专业方向,水墨喜好程度,AIGC了解程度,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,系列A最喜欢,系列B最喜欢,综合排序,受欢迎元素,图案应用建议
20-25岁,,学生,服装设计,非常喜欢,有所了解,5,3,3,4,4,4,5,1,5,5,4,3,4,2,4,2,4,3,1,4,3,3,2,4,3,5,3,4,5,4,4,3,5,5,3,4,3,5,1,5,2,4,1,5,5,1,5,2,5,3,"A4,A22,A16,A31,A23","B1,B5","B7,B1,A31,B12,A34",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,工业设计,一般,听说过，不太了解,4,3,4,3,3,3,3,3,5,2,3,2,2,3,5,2,5,3,3,2,3,3,3,3,3,5,3,4,5,4,4,4,2,5,3,5,2,5,5,5,2,5,3,5,2,4,5,2,4,2,"A17,A11,A33","B15,B6,B8","A26,A34,B5",色彩饱和度高，具有视觉冲击力,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,比较喜欢,听说过，不太了解,5,2,3,2,3,2,4,2,5,4,3,3,2,4,3,4,1,2,3,2,3,1,4,4,2,5,3,4,5,4,4,3,5,5,2,5,5,4,4,5,3,5,5,4,4,2,5,5,5,3,"A21,A3,A9","B14,B15,B5","A34,B1,A31,B9,B7",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,学生,艺术史,比较喜欢,听说过，不太了解,5,3,3,3,1,3,5,4,3,1,3,4,2,3,5,3,3,3,2,2,5,2,3,3,4,5,1,3,5,5,5,2,5,5,3,5,2,5,1,4,4,5,2,5,3,3,4,4,4,5,"A32,A10,A29,A4","B3,B1","A29,A1,B3",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,教育/科研类,,一般,非常了解并关注,5,3,3,2,1,3,3,3,2,2,4,4,3,3,4,4,1,4,3,4,3,3,3,3,3,5,3,1,4,5,5,4,3,5,2,5,2,5,3,5,1,4,3,5,1,3,5,4,4,2,"A28,A8,A32,A3","B6,B12,B9","B3,B14,A26,A29",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
26-30岁,,艺术/设计类,,一般,非常了解并关注,4,2,5,3,2,2,4,4,5,3,3,2,2,1,2,3,5,2,5,3,3,3,3,2,3,5,4,3,5,5,5,3,5,5,4,4,3,5,1,4,5,5,2,5,1,3,5,3,5,2,"A19,A12,A11","B10,B11,B15","B7,A1,B5",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
31-35岁,,"艺术/设计类,新媒体/互联网类",,一般,有所了解,5,2,3,5,2,2,2,3,5,3,2,3,3,1,3,2,4,3,4,5,5,2,5,4,4,4,2,5,4,4,4,5,3,5,3,4,3,5,3,4,2,4,3,4,1,2,4,5,4,1,"A7,A22,A2,A19","B7,B6","A26,A34,A29,A1,B14",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
20-25岁,,时尚/服装类,,比较喜欢,听说过，不太了解,5,2,2,3,3,5,3,4,2,4,3,3,2,1,4,2,2,2,1,3,3,2,3,4,5,5,3,2,5,5,5,3,3,5,4,5,2,4,4,4,3,5,3,5,4,1,5,4,5,3,"A18,A1,A22,A3,A29","B12,B15,B13","A29,A30,A1,A31,A34",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,金融/商业类,,比较喜欢,有所了解,4,3,3,3,1,4,3,3,5,2,4,3,4,3,2,3,3,2,4,3,4,3,3,5,5,4,4,3,4,5,5,5,2,5,4,4,3,5,2,5,2,4,2,5,3,3,5,2,5,3,"A25,A6,A26,A17,A12","B13,B14","A26,A1,A30,A29",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
20-25岁,,学生,平面设计,非常喜欢,完全不了解,5,4,1,3,5,2,3,5,4,1,3,1,4,3,5,1,3,2,3,2,3,4,2,3,5,5,2,5,4,5,5,4,4,5,2,5,3,5,2,4,4,5,3,5,4,3,5,2,5,5,"A10,A8,A20,A32,A28","B15,B11,B10","A34,B9,A26",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
31-35岁,,时尚/服装类,,一般,有所了解,5,3,2,1,3,2,2,3,3,2,2,5,2,3,3,4,3,2,1,4,4,3,2,3,3,5,1,3,4,5,5,5,3,5,2,4,1,4,1,5,3,4,2,4,3,2,5,5,5,3,"A25,A31,A18,A28","B13,B7","B7,A29,B1,B9",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,学生,工业设计,非常喜欢,听说过，不太了解,5,3,1,4,2,5,3,3,4,4,3,3,3,5,3,2,2,2,2,2,3,2,3,3,2,4,1,2,5,5,4,3,2,5,3,5,3,4,4,5,5,4,4,5,5,2,5,1,5,3,"A30,A15,A10,A32","B5,B8","A26,B3,A31,A29",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
26-30岁,,其他,,比较喜欢,非常了解并关注,5,3,2,4,2,3,4,5,4,2,4,2,5,4,4,1,3,4,4,1,5,1,3,3,2,4,4,3,4,5,5,3,2,4,4,5,3,5,3,4,5,5,3,5,5,3,4,5,5,3,"A34,A28,A19","B9,B2","B5,A26,B14",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
26-30岁,,艺术/设计类,,比较喜欢,听说过，不太了解,5,4,4,4,3,2,4,3,2,2,2,4,4,2,4,2,4,3,4,3,3,4,1,5,3,5,3,2,5,5,4,4,3,5,2,5,5,4,3,5,3,5,3,4,5,4,4,3,5,5,"A17,A23,A6,A33","B2,B12","B3,A29,B12,B1,A1",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
其他,50岁,教育/科研类,,不太喜欢,听说过，不太了解,4,3,3,3,2,1,2,3,2,4,2,5,4,5,4,2,3,2,5,3,3,4,5,4,3,5,3,1,5,5,4,5,3,5,4,5,1,4,4,5,3,5,2,5,2,2,5,2,5,1,"A21,A30,A29,A17","B15,B14,B13","A30,A29,A26",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,时尚/服装类,,非常喜欢,有所了解,5,4,1,5,3,2,1,3,2,3,2,3,3,1,3,4,1,4,3,5,2,5,3,3,3,4,5,3,4,4,4,3,3,5,3,5,3,4,2,4,5,5,5,4,4,3,5,2,5,5,"A2,A1,A26,A8,A11","B8,B12,B7","B12,B7,B3,A31,A34",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,服装设计,一般,完全不了解,5,2,3,3,4,4,3,2,5,3,5,3,4,4,3,5,1,4,5,3,3,3,4,4,3,5,3,2,5,5,4,3,3,5,1,5,3,5,4,5,5,5,2,5,4,3,5,4,5,5,"A9,A1,A13","B14,B1","A30,A1,B14,B3,A29",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
20-25岁,,其他,,非常喜欢,听说过，不太了解,4,3,3,4,2,3,3,3,5,4,3,4,3,4,2,4,3,2,2,3,4,1,3,4,3,5,2,3,5,5,5,4,3,5,5,4,4,4,3,5,4,5,5,5,3,3,4,3,5,3,"A35,A13,A6,A20,A30","B8,B7","A26,A29,B12",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
31-35岁,,"时尚/服装类,艺术/设计类",,一般,有所了解,5,4,3,4,4,3,4,1,1,1,3,2,5,3,3,2,3,3,3,3,3,3,4,1,4,5,3,3,5,4,5,3,5,5,2,5,1,5,4,5,3,5,5,4,4,3,5,4,5,3,"A16,A13,A19,A26","B6,B1","B9,B12,B1",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
20-25岁,,教育/科研类,,一般,非常了解并关注,5,2,4,2,3,2,3,5,2,1,1,3,3,3,3,1,4,4,5,5,3,3,4,2,3,4,3,3,4,4,5,1,5,4,3,5,1,5,3,5,4,4,2,4,2,3,5,3,5,3,"A19,A3,A32,A26,A33","B4,B12,B1","A1,B1,B7,A34,B5",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
26-30岁,,学生,视觉传达,非常喜欢,完全不了解,5,1,4,4,3,1,3,4,2,3,3,3,3,3,4,4,3,3,3,4,3,3,5,4,2,5,3,4,4,5,4,2,3,5,3,5,3,5,3,4,2,5,3,5,3,1,5,1,5,2,"A31,A8,A32,A23","B12,B7,B1","A31,B12,A30",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
26-30岁,,学生,数字媒体,不太喜欢,完全不了解,4,2,1,4,3,3,1,4,3,4,4,1,3,3,3,2,4,5,5,4,3,3,1,3,2,4,4,5,5,4,5,2,3,5,3,5,3,5,1,5,3,5,3,5,3,2,5,5,5,2,"A33,A15,A22","B3,B5,B12","B1,B14,B9,A34,B3",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,比较喜欢,听说过，不太了解,5,3,2,5,3,3,3,3,3,3,3,4,2,2,3,4,2,2,3,3,3,1,1,4,3,5,3,3,5,4,5,1,3,4,2,5,3,5,3,5,1,5,3,4,4,2,5,3,5,1,"A6,A31,A9,A12,A13","B10,B8","B14,B1,B3",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,"文化/创意产业类,教育/科研类",,一般,有所了解,4,2,4,2,3,2,2,2,3,2,1,4,3,2,3,1,3,3,2,2,3,4,2,2,3,5,1,2,4,4,4,1,3,5,3,4,3,5,4,5,3,4,3,4,1,3,5,3,5,2,"A2,A23,A17","B11,B3,B14","A1,A26,A34,B1,B12",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,金融/商业类,,比较喜欢,非常了解并关注,5,2,4,4,2,4,3,5,5,1,2,3,5,5,3,2,2,4,3,3,3,4,4,3,2,5,5,3,4,4,4,2,3,4,3,4,2,5,3,4,4,4,3,5,4,3,4,3,4,4,"A32,A17,A22","B13,B1,B15","A31,A29,B5,B7,A26",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
20-25岁,,其他,,完全不了解/不感兴趣,有所了解,5,3,2,2,4,3,3,2,5,2,2,5,5,2,4,2,1,4,4,2,1,2,4,5,2,5,2,3,4,5,4,5,2,4,4,5,2,5,4,5,2,4,5,4,3,3,4,3,5,1,"A8,A7,A3,A33","B3,B11","A30,A34,A29",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,其他,,非常喜欢,完全不了解,5,2,2,3,3,3,5,3,4,3,2,4,3,2,2,3,3,5,4,2,4,1,2,2,3,4,3,2,4,5,5,3,3,5,4,5,1,4,3,4,3,5,4,4,2,3,4,1,5,3,"A32,A7,A10,A24,A22","B2,B14","B3,B1,A1",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
31-35岁,,新媒体/互联网类,,非常喜欢,非常了解并关注,4,2,3,4,5,4,3,3,2,3,4,1,3,4,2,5,1,4,3,2,2,4,4,3,5,5,1,3,4,5,4,2,3,4,3,5,1,5,3,4,4,4,2,4,3,3,4,2,5,4,"A33,A11,A6,A18","B12,B13,B7","B9,B14,A30,A29",色彩饱和度高，具有视觉冲击力,可用于整件服装印花，形成整体风格
26-30岁,,学生,艺术史,非常喜欢,听说过，不太了解,4,1,3,4,3,1,3,3,3,2,4,3,3,3,2,2,1,3,3,4,1,5,2,3,1,5,4,5,4,4,5,4,5,4,4,4,3,4,3,5,1,4,3,4,1,3,5,3,4,5,"A27,A30,A34,A24","B8,B3","B12,B5,A26",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
20-25岁,,新媒体/互联网类,,不太喜欢,有所了解,5,1,5,3,3,2,5,3,1,2,3,2,3,5,3,5,3,4,3,3,3,3,5,3,4,5,3,3,4,4,5,5,2,5,2,5,3,4,1,4,1,4,2,4,2,3,5,2,4,4,"A11,A28,A4,A26","B11,B15","B7,A1,B9",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,时尚/服装类,,非常喜欢,非常了解并关注,4,4,2,5,3,5,2,2,3,1,4,3,3,2,3,3,4,2,5,5,4,3,3,1,5,5,1,3,5,4,4,5,4,5,2,4,3,5,2,5,5,4,2,4,3,2,5,3,5,2,"A20,A21,A23,A1,A18","B12,B7","B9,A30,B5,B7",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
26-30岁,,其他,,完全不了解/不感兴趣,听说过，不太了解,5,2,3,3,5,2,2,3,2,3,5,5,2,2,3,3,3,4,3,2,4,1,1,4,3,5,3,1,4,5,4,3,4,5,4,5,4,5,3,5,4,4,4,5,1,3,4,1,5,3,"A26,A13,A20,A6,A3","B7,B12,B14","A29,B5,B12,A31,A30",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
26-30岁,,金融/商业类,,非常喜欢,听说过，不太了解,5,4,2,3,4,2,1,4,4,3,2,3,3,3,3,3,4,4,3,2,3,1,3,5,3,4,2,1,4,5,4,2,2,5,3,5,2,5,3,4,2,4,3,4,4,2,5,3,5,4,"A11,A2,A35,A17","B14,B13","B12,B1,B5,A26",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,视觉传达,非常喜欢,听说过，不太了解,5,5,5,5,1,2,5,3,2,4,2,4,4,4,2,3,3,3,2,3,3,3,4,3,2,5,4,3,5,4,4,5,5,5,4,5,5,5,3,5,1,5,4,5,4,1,5,2,4,5,"A23,A8,A4,A29,A20","B8,B6","B14,B12,B7",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
20-25岁,,"新媒体/互联网类,时尚/服装类",,比较喜欢,听说过，不太了解,4,3,1,3,5,4,5,4,4,3,3,3,4,2,1,5,1,5,4,3,3,4,2,4,4,4,1,2,4,4,5,3,4,4,3,5,4,5,3,5,3,4,3,5,1,3,5,5,4,2,"A9,A25,A34,A16,A7","B9,B10,B4","B3,A26,A29,B1",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,艺术/设计类,,一般,听说过，不太了解,5,5,3,5,2,4,3,4,3,4,5,4,4,1,2,5,3,3,3,1,3,3,2,2,3,5,2,3,5,5,5,5,1,4,3,5,3,4,3,4,5,4,5,4,2,2,5,1,5,4,"A28,A9,A31","B8,B2","B9,B5,B1,B7",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
26-30岁,,金融/商业类,,不太喜欢,有所了解,5,5,5,3,4,3,3,2,2,3,3,2,3,3,5,4,3,5,3,3,5,3,3,2,2,5,5,3,5,5,4,3,3,5,1,5,4,5,3,4,3,5,4,4,3,3,4,1,5,3,"A28,A29,A32,A27","B3,B9","B3,B12,B14",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,视觉传达,非常喜欢,有所了解,5,2,2,4,2,3,5,3,4,3,1,3,3,2,3,5,2,3,3,4,4,4,3,1,3,5,4,5,5,5,5,2,3,5,5,4,5,5,2,4,2,5,1,5,5,3,5,2,5,2,"A30,A31,A3","B9,B6","B7,B1,A26",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
26-30岁,,学生,工业设计,不太喜欢,听说过，不太了解,5,1,4,3,3,2,4,3,5,4,2,3,5,4,3,5,2,3,4,2,3,4,3,2,3,5,3,4,4,5,5,4,3,4,3,5,3,4,3,5,1,5,1,5,3,2,5,3,4,4,"A3,A34,A10,A8","B5,B6,B15","B3,A1,A29,B9",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,新媒体/互联网类,,比较喜欢,非常了解并关注,5,3,5,4,5,5,3,2,2,3,3,2,3,3,1,3,2,3,2,4,1,4,3,3,3,4,2,4,5,5,5,3,3,5,4,4,5,4,3,5,5,5,3,4,1,4,5,3,5,3,"A14,A12,A32,A1","B9,B6","A1,B1,B3",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,"新媒体/互联网类,金融/商业类",,一般,有所了解,5,5,3,1,2,2,4,1,1,3,3,3,3,4,2,3,4,3,4,4,4,3,4,4,4,5,2,3,4,4,5,5,5,5,5,5,4,4,3,5,2,5,2,4,1,3,5,4,4,3,"A9,A33,A30,A29","B3,B14,B12","A26,B7,B9,B12",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
26-30岁,,文化/创意产业类,,非常喜欢,非常了解并关注,5,3,2,2,4,3,3,3,2,3,3,3,4,3,4,2,2,2,3,3,3,4,5,2,1,4,4,2,5,5,4,1,3,4,2,5,3,4,3,4,3,5,4,4,3,4,4,3,5,3,"A22,A35,A3,A29","B11,B2,B3","A1,B7,B9,A31,B5",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,"文化/创意产业类,教育/科研类",,比较喜欢,有所了解,4,2,3,2,3,3,1,2,1,3,2,3,3,3,4,3,3,4,2,5,5,2,4,4,5,5,3,1,5,4,4,5,1,5,2,4,3,4,5,4,2,4,3,4,3,3,4,2,5,3,"A4,A34,A13,A31,A33","B2,B11","A29,A1,A31,A30,B7",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,其他,,一般,听说过，不太了解,4,1,3,4,1,3,4,3,2,3,1,2,1,4,4,3,3,3,2,1,3,4,5,3,3,5,3,3,5,5,5,3,5,5,3,5,4,5,3,4,4,5,3,5,5,4,4,3,4,2,"A21,A26,A3,A32,A2","B7,B3,B15","B5,A34,B1",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
31-35岁,,艺术/设计类,,非常喜欢,非常了解并关注,5,1,3,3,4,2,3,4,3,1,2,4,4,4,2,4,3,2,5,3,5,4,3,3,3,5,3,4,4,5,4,2,4,4,2,4,3,4,4,5,3,5,2,5,3,2,4,3,5,1,"A35,A11,A19","B3,B5","A29,A31,B1",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,工业设计,完全不了解/不感兴趣,听说过，不太了解,4,2,4,2,5,2,1,3,3,5,4,3,3,4,3,2,2,2,4,3,2,4,1,3,4,5,2,3,5,5,4,1,4,4,4,5,3,5,1,4,3,4,3,5,4,3,5,2,5,3,"A12,A2,A4,A20","B2,B6,B3","A34,A31,B1,A26",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
20-25岁,,学生,艺术史,不太喜欢,听说过，不太了解,5,2,3,5,3,3,5,3,3,3,3,3,3,3,2,2,3,2,4,3,3,2,2,3,5,4,4,2,4,5,5,3,2,4,3,5,2,5,2,5,1,5,2,4,5,4,5,1,5,3,"A16,A32,A33,A25,A8","B1,B6,B8","B1,A26,B3,A1,B14",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,平面设计,比较喜欢,听说过，不太了解,4,2,2,3,2,2,3,4,3,3,1,5,3,5,5,4,1,3,1,4,4,5,3,3,3,4,3,3,5,5,5,4,3,4,3,5,1,4,5,4,3,5,3,5,4,3,4,5,5,3,"A7,A16,A9,A20,A27","B2,B14,B11","A30,A29,A34,B5,B12",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
26-30岁,,学生,工业设计,完全不了解/不感兴趣,听说过，不太了解,4,5,4,3,3,2,3,1,3,3,4,4,2,4,3,3,2,4,5,4,5,3,4,3,2,5,3,2,4,4,4,2,2,4,5,5,3,5,3,5,3,5,2,4,3,3,5,3,5,3,"A3,A1,A30,A19","B1,B15","A31,B7,B14,B1",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
其他,45岁,其他,,一般,听说过，不太了解,5,1,5,2,3,3,3,3,5,3,5,3,2,2,4,1,3,2,3,4,3,2,2,3,1,5,3,1,5,5,4,3,3,5,4,4,3,5,3,5,3,5,3,5,5,3,5,1,5,2,"A19,A3,A11,A35,A5","B2,B7,B12","A29,B12,B5",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,文化/创意产业类,,比较喜欢,听说过，不太了解,5,3,2,3,3,3,2,1,3,3,3,2,3,4,4,4,1,3,2,3,2,4,3,3,3,4,3,3,5,5,4,4,3,5,3,5,2,5,3,4,1,5,2,4,5,4,4,3,5,4,"A33,A21,A22,A17,A29","B4,B11,B6","A30,B3,B7,A34",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
26-30岁,,教育/科研类,,一般,非常了解并关注,4,4,1,3,4,3,1,4,5,4,3,2,1,3,2,4,3,3,4,4,3,5,5,5,4,5,3,2,4,4,4,3,2,5,4,4,2,5,4,5,5,5,3,4,4,2,5,3,5,2,"A31,A1,A12","B9,B12,B14","B14,B1,B5,A26",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,其他,,比较喜欢,完全不了解,5,4,4,3,2,2,4,4,2,3,3,2,3,2,1,3,3,1,3,2,1,2,2,2,4,5,2,2,4,5,4,2,3,5,1,5,3,4,3,5,3,4,3,4,4,3,4,3,5,3,"A29,A8,A23,A25,A12","B2,B8","A30,B3,A1,B14",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
